地点,薪资,职位,岗位需求
北京-海淀区,13K-20K,java开发工程师,岗位职责：1、在软件项目经理的领导下，配合完成程序设计和开发。2、按产品需求进行软件设计和编码实现，确保安全、质量和性能。3、参与内部测试、部署、实施等工作。4、分析并解决软件开发过程中的问题。岗位要求：1、大学本科以上学历，计算机相关专业，有2年以上JAVA开发经验；2、熟悉Java EE技术，包括Servlet/JSP、JDBC、JMS、Web Service等，对各种开源的软件如Spring、Struts、hibernate/mybatis、Tomcat等；3、必须熟练使用Vue前段框架；4、熟悉css/xml等网页技术，熟练Ajax、jquery、Javascript技术；5、熟悉Mysql数据库；6、熟悉面向对象编程，具有良好的编程风格、习惯；了解软件开发流程，熟悉MVC模式；并有在MVC模式下进行过web开发的经验；7、可以单独对已有的系统进行维护，工作认真细致负责，有良好的自学能力，独立思考能力，能够在短时间内学习并应用新技术；8、能够承受工作压力，能在规定的时间内高效完成任务，具有良好的团队合作精神9、有jeecms内容管理系统使用经验者优先录取。10、最好有小程序经验优先。
长沙,8K-15K,Java开发工程师,"岗位描述：1、按需求能编写部份设计文档；2、进行前台或后台核心代码编写；3、保证开发程序代码高效、稳定；4、编写系统操作手册、帮助文件；5、进行单元测试；岗位要求：1.计算机相关专业，本科以上学历；2.熟悉java编程语言，多线程编程，concurrent类库，网络编程，深入理解  OOP、OOA、OOD、敏捷开发等编程思想；3.熟悉Spring,　MongoDB, JSON, Redis,JQuery；熟悉REST协议和基于REST的Web开发；4.良好的测试优先(TDD)的开发习惯,熟悉junit,jmock等测试框架5.能使用Eclipse,　Maven,　JIRA,　Bamboo；6.3年以上开发工作经验；有物联网产品的开发经验者优先；7.具有较强的团队协作能力、沟通能力；"
昆明,15K-20K,PHP/JAVA工程师,"岗位要求1.三年以上PHP或Java开发经验2.熟练掌握Php或Java，Mysql数据库3.熟练掌握html, css, div, bootsrap4.熟练掌握******5.熟悉微信公众号开发6.代码编写规范，态度认真、严谨、负责待遇：8000-20000元工作地：昆明市官渡区归十路759号"
上海-闵行区,15K-30K,高级java工程师+15薪+各种补贴,职位描述参与公司核心产品研发，包含：需求分析、系统分析与开发等。 职位要求1.从事Java开发3-5年及以上； 2.良好的算法设计能力与文档编写能力； 4.熟悉 mysql，具有 SQL优化相关经验； 5.熟悉 Spring Cloud/Boot，J2EE系统架构设计开发经验丰富； 6.熟悉主流中间件如缓存，消息，RPC； 7.具有一定的Linux使用经验，能编写简单的Shell脚本；8.需要Java做语义的，会NLP的。职位亮点五险一金 交通补助 通讯补助 餐补 周末双休每月能拿多少钱基本工资： 15000-30000元月薪制度： 15薪 上班时间9:00-18:00 上班地址上海市-上海-闵行区 虹梅南路833号 国民新能源环保孵化器 1号楼8楼国民实业
杭州-余杭区,8K-15K,中级Java工程师,任职要求：1、计算机及相关专业，本科及以上；2、熟悉软件工程、数据结构及Web开发等专业知识；3、3年以上java开发经验，熟练掌握ORACLE、Mysql等常用数据库；5、熟悉SSM等MVC开源框架；7、沟通良好，能承受一定的工作压力.
深圳-南山区,20K-35K,高级JAVA工程师,"岗位职责：1、负责/参与项目需求分析、技术架构设计、持续优化，根据业务规划及技术规划制定应用架构方案；2、负责云平台系统的架构设计、系统设计、详细设计，以及平台大数据的自动化分析处理的开发；3、核心功能的架构与代码模板编写，开发、维护、部署，平台公用核心模块及文档编写；4、对所属模块进行单元测试，指导项目组中级工程师的代码开发，协助运维工程师推出系统服务；5、负责解决开发过程中的技术难题。岗位要求：1、统招本科，计算机相关专业，5年以上互联网平台软件开发经验；2、至少5年以上JAVA开发经验，熟悉多线程及高并发技术，具备扎实的基础算法及数据结构，熟练Linux平台、Shell脚 本；3、熟悉Spring_springMVC, Mybatis开发框架，熟悉SpringBoot, 具有1-2年基于SpringCloud或Dubbo框架项目设计、开发经验。4、熟练Mysql数据库设计、分库分表等技术，熟悉Redis/Mongodb等nosql技术；5、掌握常用设计模式，对各种开源的框架有深入了解，具有丰富的性能调优的经验。"
兰州,8K-10K,中级Java开发工程师,岗位职责：1、具备一定的需求分析能力，能独立完成子系统或功能模块的需求分析；2、在高级开发工程师指导下，研究新技术并攻关技术难题，能指导初级工程师开发；3、完成软件系统代码的实现，编写代码注释和开发文档；4、根据设计文档或需求说明完成代码编写，调试，测试和维护；5、分析并解决软件开发过程中的问题；6、协助测试工程师制定测试计划，定位发现的问题；7、配合项目经理完成相关任务目标。任职要求：1、三年以上Java软件开发经验；2、精通Java语言，熟悉面向对象思想；3、精通Spring、Struts、Mybatis、JUnit、Extjs等主流框架；4、熟悉Oracle、Mysql等任意一种关系型数据库，精通SQL语句；5、熟悉Html、Css、Javascript、Ajax、JQuery前端开发技术；6、熟悉Tomcat、JBoss等中间件、了解其配置、部署、调试、及使用；7、熟悉Svn、Maven等开发管理工具；8、具备需求分析能力，以及较强的逻辑分析和独立解决问题能力；9、有良好的沟通能力与团队合作的精神；10、熟悉Linux基本操作，有一定的项目部署经验；11、具备android开发经验者优先。公司福利：1、购买五险(医保、失业保、养老保险、生育保险、工伤保险）2、年底双薪、绩效奖金、带薪假、（年休假、婚假、产假、看护假、丧假）3、加班补助、交通补助、餐补、工龄补助、通讯补贴。4、员工旅游、健康体检。5、节日福利、生日福利。6、周末双休、国家法定节假日。 提供快速晋升通道与广阔的职业空间，为工作优秀的员工提供自建团队、独立管理、发展新项目等职业机会。
北京,16K-28K,高级java工程师,岗位职责：1.分析需求，根据规范进行系统设计并对产品进行快速迭代开发2.负责服务的部署、管理、监控和维护3.搭建系统开发环境，完成产品开发工作4.参与公司整体技术架构设计、实现和性能优化5.根据开发规范编写各种开发文档及项目文档6.根据使用需要进行技术调研，解决各种技术问题任职要求：1.本科及以上学历，3年以上互联网经验，分布式系统开发经验者优先2.java基础扎实，熟悉多线程、java网络编程，并熟悉其它至少一种开发语言3.能熟练使用主流开源框架Spring、MyBatis、SpringMVC等4.熟悉Mysql数据库，同时有NoSQL（Redis，MongoDB等）使用经验5.熟悉Linux环境开发6. 学习能力强，善于分析解决问题加分项：使用过Mina/Netty/Disruptor/Guice框架，研究过docker容器，深度使用过NoSQL数据库，高并发大用户分布式系统开发经验者优先
南京,6K-10K,Java工程师,"岗位职责：1、参与项目需求讨论，据需求进行产品的升级与功能改进；2、带领初级java完成功能详细设计和编码；3、对代码定期进行审查；4、配合公司其它部门提供技术支持。任职要求：1、3年以上java开发经验,1年以上设计经验，能独立解决技术问题，具有良好的编程习惯；2、本科及以上学历，计算机、电子或相关专业；3、熟练掌握Java语言，熟悉SSM框架，熟练使用spring全家桶；4、熟悉常用设计模式；5、熟悉数据库SQL语言,熟悉Oracle数据库编程；6、责任心强，具有良好的沟通能力和团队合作意识；7、能根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档。具有以下条件者优先：1、有一定算法基础，java基本扎实，熟悉常用设计模式；2、参与过系统分析与设计，并负责完成核心代码；3、具有独立进行软件需求分析设计及解决技术问题的能力；4、有计划免疫相关方面开发经验优先；"
呼和浩特,4K-8K,java开发工程师,"岗位职责：1. 负责公司产品的部分代码编写和开发；2. 辅助进行系统的功能定义，协助客户现场解决交付或测出过程中出现的相关问题；3. 产品交付相关支持；任职要求：1、熟练掌握Java、Jsp等相关开发语言；2、熟练掌握SQL Server、Oracle中的一种；3、熟练掌握div css javascript前端技术，Spring、hibernate框架技术；4、熟练使用eclipse、myeclipse等；5、熟悉tomcat、WebLogic等部署环境；6、从事java、jsp软件开发两年以上，独立或主要负责过软件项目,；7、有负责心、事业心；有相关的开发经验与组织软件项目经验，有成功案例。8、从事过政府部门软件开发优先。"
深圳,25K-30K,高级Java工程师,岗位职责：1．参与软件需求分析、系统设计、核心代码编写和文档编写等工作；2. 参与平台开放接口的开发。3. 参与系统调优、新项目和工具开发。任职要求：1. 计算机相关专业全日制本科及以上学历，6-8年java开发经验，有大型系统开发经验优先；2. 熟悉软件工程基本理论和方法，熟练掌握面向对象编程思想，掌握常用设计模式；3. 扎实的Java语言功底，良好的编程习惯；熟练使用Eclipse/Idea等开发工具；4. 熟悉SSM、SpringBoot、Netty等主流企业应用开源框架；5. 熟练使用MySQL、HBase数据库，有数据库设计和优化经验者优先；6. 熟练掌握Apache、Tomcat、Redis 等应用服务器配置和应用部署；7. 熟悉Linux操作系统，掌握常用的Linux命令；8. 熟悉设计模式、高可用性部署、有性能调优经验者优先；9. 良好的沟通和团队合作能力，主动的学习意愿和良好的学习习惯，认真负责的工作态度；10. 有一定的英文读写能力，较强的学习能力和抗压能力。
北京,5K-10K,Java Web网站开发工程师,    岗位职责：  1. 根据项目具体要求，承担开发任务，按计划完成任务目标；  2. 配合系统分析人员完成软件系统及模块的设计；  3. 独立完成软件系统及模块的编码。任职资格：1. 专科以上学历，计算机、软件工程、信息管理、等相关专业；2. 熟练掌握SQL数据库管理及数据查询分析语言；3. 熟悉计算机网络并掌握Web网站开发，有两年以上JAVA开发工作经验；4. 喜欢物联网方向，独立承担过或参与过开发项目，产品管理类项目者优先；5. 能吃苦、语言沟通能力强、反应快，学习上手能力快。叶帆科技--物联网软硬中间件技术引领者公司网站：http://www.yfiot.com公司地址：北京市大兴工业开发区创始人专访1：http://www.csdn.net/article/2014-12-19/2823223/1创始人专访2：https://www.toutiao.com/i6548267523945529863/  
西安,4K-7K,java开发工程师,"岗位要求：1. 熟练JAVA，JavaScript开发，熟悉SpringMvc、Spring cloud有参与大型项目优先2. 熟悉Node.js，能熟练使用postgis，Oracle等数据库3. 熟悉C#，GIS优先4,具有良好的团队合作精神、高度责任心联系人：赵女士 联系方式：*********** 邮箱：*****************"
北京,30K-40K,高级java开发工程师（研发部）,"职责描述：1、根据应用平台产品品项目规划,参与制定具体项目实施方案;2、整合并优化负责的项目模块开发所需各种资源;3、参与软件开发技术和规范及标准流程的改进;任职要求：1、5年以上JAVA项目开发经验,2、扎实的java基础,有j2EE设计经验,深刻理解面向对象设计和开发;3、精通springboot、springcloud等常用开发框架;4、熟练掌握JUnit等单元测试工具;5、熟练webservice技术, dubbo等框架技术,熟悉maven。springboot/spring cloud6、精通Oracle、SQL Server或MySQL数据库,具有数据库规划能力7、有Solr， ElasticSerch相关经验优先考虑"
北京,5K-10K,Java Web网站开发工程师,    岗位职责：  1. 根据项目具体要求，承担开发任务，按计划完成任务目标；  2. 配合系统分析人员完成软件系统及模块的设计；  3. 独立完成软件系统及模块的编码。任职资格：1. 专科以上学历，计算机、软件工程、信息管理、等相关专业；2. 熟练掌握SQL数据库管理及数据查询分析语言；3. 熟悉计算机网络并掌握Web网站开发，有两年以上JAVA开发工作经验；4. 喜欢物联网方向，独立承担过或参与过开发项目，产品管理类项目者优先；5. 能吃苦、语言沟通能力强、反应快，学习上手能力快。叶帆科技--物联网软硬中间件技术引领者公司网站：http://www.yfiot.com公司地址：北京市大兴工业开发区创始人专访1：http://www.csdn.net/article/2014-12-19/2823223/1创始人专访2：https://www.toutiao.com/i6548267523945529863/  
西安,4K-7K,java开发工程师,"岗位要求：1. 熟练JAVA，JavaScript开发，熟悉SpringMvc、Spring cloud有参与大型项目优先2. 熟悉Node.js，能熟练使用postgis，Oracle等数据库3. 熟悉C#，GIS优先4,具有良好的团队合作精神、高度责任心联系人：赵女士 联系方式：*********** 邮箱：*****************"
北京,30K-40K,高级java开发工程师（研发部）,"职责描述：1、根据应用平台产品品项目规划,参与制定具体项目实施方案;2、整合并优化负责的项目模块开发所需各种资源;3、参与软件开发技术和规范及标准流程的改进;任职要求：1、5年以上JAVA项目开发经验,2、扎实的java基础,有j2EE设计经验,深刻理解面向对象设计和开发;3、精通springboot、springcloud等常用开发框架;4、熟练掌握JUnit等单元测试工具;5、熟练webservice技术, dubbo等框架技术,熟悉maven。springboot/spring cloud6、精通Oracle、SQL Server或MySQL数据库,具有数据库规划能力7、有Solr， ElasticSerch相关经验优先考虑"
深圳-福田区,10K-20K,JAVA工程师（川崎）,"岗位职责：1. 需求分析、系统开发； 2. 负责完成各类设计文档，并参与开发；3. 使用JAVA与数据库语言进行项目开发；任职要求：1、3年以上的开发经验，有系统设计经验；2、有丰富的Spring框架使用经验，知识面比较宽，了解目前流行的技术；3、熟悉Web JSP,Servlet,Java Bean,JMS,EJB,Jdbc开发；4、具有较强的沟通能力及团队合作精神，有团队管理经验；5、工作认真，细心，有条理；积极性高，求知欲强；6、深入了解设计模式和项目管理经验者优先。福利待遇：1、工作时间：周一至周五；2、五险一金（按照国家规定为员工缴纳）；3、按劳动法享有休假福利，国家法定节假日统一休假；4、茶会、员工生日会，不定期组织部门活动。"
